[PiCamera @ factory.py:85][DEBUG] 2017-11-10 19:52:25,666: Logging to: logs/2017_Nov_10/PiCamera/19_52_25.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 19:52:25,696: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 19:52:25,961: PiCamera initialized: <picamera.camera.PiCamera object at 0x6deb1718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 19:52:25,962: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:39,418: [log buffer start]
[DEBUG, 1510361562.2523386]: PiCamera image received: ImageMessage(t=1510361562.2523236, n=230)
[DEBUG, 1510361562.285015]: PiCamera image received: ImageMessage(t=1510361562.2849998, n=231)
[DEBUG, 1510361562.3185427]: PiCamera image received: ImageMessage(t=1510361562.318526, n=232)
[DEBUG, 1510361562.3537228]: PiCamera image received: ImageMessage(t=1510361562.3537064, n=233)
[DEBUG, 1510361562.4206285]: PiCamera image received: ImageMessage(t=1510361562.420613, n=234)
[DEBUG, 1510361562.4541113]: PiCamera image received: ImageMessage(t=1510361562.4540956, n=235)
[DEBUG, 1510361562.5584414]: PiCamera image received: ImageMessage(t=1510361562.5584257, n=236)
[DEBUG, 1510361562.592478]: PiCamera image received: ImageMessage(t=1510361562.592463, n=237)
[DEBUG, 1510361562.6607933]: PiCamera image received: ImageMessage(t=1510361562.6607766, n=238)
[DEBUG, 1510361562.727899]: PiCamera image received: ImageMessage(t=1510361562.727883, n=239)
[DEBUG, 1510361562.7605245]: PiCamera image received: ImageMessage(t=1510361562.760509, n=240)
[DEBUG, 1510361562.859936]: PiCamera image received: ImageMessage(t=1510361562.8599203, n=241)
[DEBUG, 1510361562.8942475]: PiCamera image received: ImageMessage(t=1510361562.894232, n=242)
[DEBUG, 1510361562.9290435]: PiCamera image received: ImageMessage(t=1510361562.9290264, n=243)
[DEBUG, 1510361563.0308886]: PiCamera image received: ImageMessage(t=1510361563.0308733, n=244)
[DEBUG, 1510361563.1373205]: PiCamera image received: ImageMessage(t=1510361563.1373026, n=245)
[DEBUG, 1510361563.204529]: PiCamera image received: ImageMessage(t=1510361563.204513, n=246)
[DEBUG, 1510361563.238017]: PiCamera image received: ImageMessage(t=1510361563.238001, n=247)
[DEBUG, 1510361563.344128]: PiCamera image received: ImageMessage(t=1510361563.3441122, n=248)
[DEBUG, 1510361563.4103844]: PiCamera image received: ImageMessage(t=1510361563.4103694, n=249)
[DEBUG, 1510361563.542148]: PiCamera image received: ImageMessage(t=1510361563.5421324, n=250)
[DEBUG, 1510361563.6614597]: PiCamera image received: ImageMessage(t=1510361563.6614437, n=251)
[DEBUG, 1510361563.6972618]: PiCamera image received: ImageMessage(t=1510361563.6972463, n=252)
[DEBUG, 1510361563.7642822]: PiCamera image received: ImageMessage(t=1510361563.764267, n=253)
[DEBUG, 1510361563.8005247]: PiCamera image received: ImageMessage(t=1510361563.80051, n=254)
[DEBUG, 1510361563.9047828]: PiCamera image received: ImageMessage(t=1510361563.9047678, n=255)
[DEBUG, 1510361564.0057275]: PiCamera image received: ImageMessage(t=1510361564.0057127, n=256)
[DEBUG, 1510361564.043016]: PiCamera image received: ImageMessage(t=1510361564.043001, n=257)
